Lambda,Method,10,20,30,40,50
0.001,Vasicek,0.465,0.8455,0.9735,0.997,0.9995
0.001,Shapiro,0.457,0.83,0.97,0.994,0.9995
0.1030204081632653,Vasicek,0.467,0.83,0.9685,0.997,0.9995
0.1030204081632653,Shapiro,0.445,0.8255,0.961,0.994,0.9995
0.2050408163265306,Vasicek,0.4655,0.8335,0.9695,0.9975,1.0
0.2050408163265306,Shapiro,0.45,0.836,0.964,0.995,1.0
0.3070612244897959,Vasicek,0.456,0.835,0.966,0.9945,0.9995
0.3070612244897959,Shapiro,0.4355,0.8335,0.96,0.994,1.0
0.4090816326530612,Vasicek,0.4665,0.8405,0.9765,0.996,1.0
0.4090816326530612,Shapiro,0.456,0.831,0.967,0.995,0.9995
0.5111020408163265,Vasicek,0.483,0.8345,0.975,0.996,0.9995
0.5111020408163265,Shapiro,0.455,0.84,0.9695,0.996,0.999
0.6131224489795918,Vasicek,0.46,0.845,0.976,0.9985,1.0
0.6131224489795918,Shapiro,0.442,0.83,0.9665,0.9955,1.0
0.7151428571428571,Vasicek,0.45,0.845,0.979,0.997,0.999
0.7151428571428571,Shapiro,0.429,0.8335,0.9715,0.9925,0.9995
0.8171632653061224,Vasicek,0.451,0.852,0.9755,0.996,1.0
0.8171632653061224,Shapiro,0.4455,0.8445,0.9695,0.9935,1.0
0.9191836734693877,Vasicek,0.472,0.831,0.9725,0.995,0.999
0.9191836734693877,Shapiro,0.4475,0.8385,0.966,0.9955,0.9995
1.0212040816326529,Vasicek,0.468,0.8345,0.9765,0.9945,1.0
1.0212040816326529,Shapiro,0.454,0.8325,0.9735,0.9965,1.0
1.123224489795918,Vasicek,0.4505,0.8435,0.978,0.9985,1.0
1.123224489795918,Shapiro,0.437,0.843,0.9735,0.9955,0.9995
1.2252448979591835,Vasicek,0.4675,0.8445,0.974,0.9975,1.0
1.2252448979591835,Shapiro,0.445,0.846,0.971,0.995,0.9995
1.3272653061224489,Vasicek,0.4665,0.852,0.9725,0.996,1.0
1.3272653061224489,Shapiro,0.461,0.85,0.9645,0.9985,1.0
1.429285714285714,Vasicek,0.467,0.8555,0.9725,0.9975,0.9995
1.429285714285714,Shapiro,0.4475,0.8425,0.9605,0.995,0.9985
1.5313061224489792,Vasicek,0.45,0.8365,0.976,0.9975,0.9995
1.5313061224489792,Shapiro,0.436,0.83,0.9705,0.9945,0.9995
1.6333265306122446,Vasicek,0.466,0.848,0.975,0.9985,0.999
1.6333265306122446,Shapiro,0.44,0.8275,0.97,0.995,0.9985
1.73534693877551,Vasicek,0.4485,0.8445,0.9735,0.997,1.0
1.73534693877551,Shapiro,0.4365,0.8255,0.9645,0.9965,0.999
1.8373673469387752,Vasicek,0.459,0.848,0.975,0.9955,1.0
1.8373673469387752,Shapiro,0.443,0.8365,0.965,0.994,0.9985
1.9393877551020404,Vasicek,0.4405,0.8355,0.975,0.9955,0.9995
1.9393877551020404,Shapiro,0.421,0.841,0.9605,0.9955,1.0
2.041408163265306,Vasicek,0.464,0.849,0.9675,0.992,1.0
2.041408163265306,Shapiro,0.445,0.8435,0.9635,0.9925,0.9995
2.1434285714285712,Vasicek,0.467,0.839,0.9705,0.9965,0.999
2.1434285714285712,Shapiro,0.452,0.84,0.958,0.996,1.0
2.245448979591836,Vasicek,0.473,0.8395,0.9755,0.9985,1.0
2.245448979591836,Shapiro,0.4585,0.8405,0.971,0.997,0.9995
2.3474693877551016,Vasicek,0.464,0.839,0.9735,0.994,1.0
2.3474693877551016,Shapiro,0.4525,0.8385,0.963,0.9925,0.999
2.449489795918367,Vasicek,0.474,0.838,0.978,0.998,0.9995
2.449489795918367,Shapiro,0.444,0.818,0.974,0.995,0.9995
2.5515102040816324,Vasicek,0.449,0.8305,0.9765,0.996,0.9995
2.5515102040816324,Shapiro,0.4325,0.822,0.9715,0.9975,1.0
2.653530612244898,Vasicek,0.461,0.837,0.9725,0.9975,0.9995
2.653530612244898,Shapiro,0.4485,0.836,0.965,0.996,1.0
2.755551020408163,Vasicek,0.4695,0.8375,0.971,0.9965,0.9995
2.755551020408163,Shapiro,0.462,0.8315,0.9655,0.9965,0.9995
2.857571428571428,Vasicek,0.4505,0.839,0.9695,0.9975,0.9985
2.857571428571428,Shapiro,0.4455,0.8375,0.962,0.995,0.998
2.9595918367346936,Vasicek,0.438,0.8455,0.973,0.9975,1.0
2.9595918367346936,Shapiro,0.436,0.836,0.9615,0.994,1.0
3.0616122448979586,Vasicek,0.4385,0.8305,0.9735,0.9945,0.9995
3.0616122448979586,Shapiro,0.444,0.8365,0.9675,0.996,0.9995
3.163632653061224,Vasicek,0.4665,0.8475,0.974,0.997,0.9995
3.163632653061224,Shapiro,0.462,0.836,0.967,0.995,1.0
3.2656530612244894,Vasicek,0.448,0.839,0.974,0.996,1.0
3.2656530612244894,Shapiro,0.4335,0.8265,0.968,0.9955,1.0
3.367673469387755,Vasicek,0.4525,0.8415,0.975,0.9965,1.0
3.367673469387755,Shapiro,0.425,0.83,0.9675,0.9935,0.9995
3.46969387755102,Vasicek,0.461,0.826,0.9735,0.997,0.999
3.46969387755102,Shapiro,0.4455,0.8195,0.9695,0.9945,1.0
3.571714285714285,Vasicek,0.4635,0.8435,0.9715,0.9965,0.9995
3.571714285714285,Shapiro,0.464,0.828,0.963,0.9945,0.999
3.6737346938775506,Vasicek,0.468,0.832,0.9685,0.9955,1.0
3.6737346938775506,Shapiro,0.453,0.8375,0.9655,0.9935,1.0
3.775755102040816,Vasicek,0.461,0.84,0.9795,0.997,0.9985
3.775755102040816,Shapiro,0.441,0.818,0.9695,0.9955,0.9985
3.877775510204081,Vasicek,0.458,0.8465,0.972,0.998,0.999
3.877775510204081,Shapiro,0.431,0.8345,0.9615,0.997,0.9985
3.9797959183673464,Vasicek,0.4435,0.841,0.976,0.9955,0.9995
3.9797959183673464,Shapiro,0.432,0.8385,0.966,0.995,1.0
4.081816326530612,Vasicek,0.4715,0.84,0.975,0.997,1.0
4.081816326530612,Shapiro,0.446,0.816,0.9655,0.9965,0.9995
4.183836734693878,Vasicek,0.471,0.844,0.975,0.995,0.9995
4.183836734693878,Shapiro,0.4615,0.8375,0.967,0.995,1.0
4.285857142857143,Vasicek,0.47,0.851,0.979,0.998,1.0
4.285857142857143,Shapiro,0.4585,0.842,0.9715,0.9955,1.0
4.387877551020408,Vasicek,0.462,0.825,0.977,0.9945,0.9995
4.387877551020408,Shapiro,0.437,0.83,0.9725,0.995,0.9985
4.489897959183673,Vasicek,0.456,0.8485,0.9845,0.998,1.0
4.489897959183673,Shapiro,0.4355,0.839,0.9735,0.996,1.0
4.591918367346938,Vasicek,0.4635,0.859,0.9705,0.998,0.999
4.591918367346938,Shapiro,0.4435,0.843,0.963,0.998,0.999
4.693938775510204,Vasicek,0.4635,0.835,0.977,0.9965,1.0
4.693938775510204,Shapiro,0.4515,0.8225,0.966,0.9945,0.9995
4.795959183673469,Vasicek,0.457,0.843,0.978,0.996,0.9995
4.795959183673469,Shapiro,0.4415,0.8415,0.9675,0.9945,0.9985
4.897979591836735,Vasicek,0.4665,0.843,0.975,0.9975,1.0
4.897979591836735,Shapiro,0.447,0.8325,0.9635,0.9945,0.9995
5.0,Vasicek,0.483,0.842,0.978,0.998,0.9985
5.0,Shapiro,0.4595,0.8295,0.971,0.996,0.999
